album,zanr
6702,Singer/Songwriter
7171,Folk Rock
7171,Jazz Fusion
7171,Jazz-Rock
7171,Singer/Songwriter
7171,Vocal Jazz
7176,Avant-Prog
7176,Blues Rock
7176,Experimental Rock
7176,Jazz-Rock
7176,Progressive Rock
7176,Satire
7180,Christian Rock
7180,Contemporary Folk
7180,Country Blues
7180,Country Rock
7180,Folk Rock
7180,Singer/Songwriter
7180,Talking Blues
7187,Alternative Rock
7187,Garage Rock
7187,Power Pop
7187,Punk Rock
7299,Conscious Hip Hop
7299,East Coast Hip Hop
7299,Experimental Hip Hop
7299,Hardcore Hip Hop
7299,Political Hip Hop
7299,Turntablism
7300,Conscious Hip Hop
7300,East Coast Hip Hop
7300,Experimental Hip Hop
7300,Hardcore Hip Hop
7300,Political Hip Hop
7380,Conscious Hip Hop
7380,Southern Hip Hop
7381,Conscious Hip Hop
7381,Experimental Hip Hop
7381,Funk
7381,Hardcore Hip Hop
7381,Neo-Soul
7381,Southern Hip Hop
7406,Boom Bap
7406,Conscious Hip Hop
7406,East Coast Hip Hop
7406,Jazz Rap
7466,Glam Rock
7466,Hard Rock
7466,Piano Rock
7466,Pop Rock
7466,Rock
7466,Rock &amp; Roll
7537,Power Metal
7584,Alt-Country
7584,Americana
7584,Blues Rock
7584,Country Blues
7584,Experimental Rock
7584,Singer/Songwriter
7660,Hard Rock
7660,Heavy Metal
7660,Traditional Doom Metal
7675,Death Metal
7675,Progressive Metal
7675,Progressive Rock
